Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
aardvark,6.26,2.21,2.41,1.4,4.27,1.75
abalone,5.3,1.59,2.65,1.9,4.95,1.79
abandon,2.84,1.54,3.73,2.43,3.32,2.5
abandonment,2.63,1.74,4.95,2.64,2.64,1.81
abbey,5.85,1.69,2.2,1.7,5,2.02
abdomen,5.43,1.75,3.68,2.23,5.15,1.94
abdominal,4.48,1.59,3.5,1.82,5.32,2.11
abduct,2.42,1.61,5.9,2.57,2.75,2.13
abduction,2.05,1.31,5.33,2.2,3.02,2.42
abide,5.52,1.75,3.26,2.22,5.33,2.83
abiding,5.57,1.75,3.59,2.26,6.6,2.3
ability,7,1.59,4.85,2.74,6.55,2.48
abject,4,1.29,3.94,2.41,4.35,2.6
ablaze,5.15,1.79,6.75,2.12,4.58,2.39
able,6.64,1.79,3.38,2.25,6.17,2.62
abnormal,3.53,1.22,4.48,2.29,4.7,2.44
abnormality,3.05,1.81,5,2.62,3.96,2.5
abode,5.28,1.27,2.9,1.89,5.05,2.44
abolish,3.84,1.54,4.18,2.07,4.65,2.42
abominable,4.05,1.23,5.45,2.44,4.62,1.83
abomination,2.5,1.65,5.9,2.59,3.8,1.38
abort,3.1,1.37,5.8,2.44,3.38,2.21
abortion,2.58,1.84,5.43,2.38,4.73,2.95
abracadabra,5.11,2.52,5.27,2.64,4.96,1.97
abrasive,4.26,1.69,6.1,1.89,4.94,2.32
abreast,4.62,1.94,4.61,2.33,5.19,1.99
abrupt,3.28,1.64,5.23,2,3.75,1.8
abscess,2.79,1.58,4,2.38,3.95,2.31
absence,3.86,2.08,4.3,2.13,4.24,2.32
absent,4.1,1.55,3.72,2.48,4.21,2.37
absinthe,3.53,1.98,3.7,2.34,3.95,1.82
absolute,5.43,1.4,3.48,2.27,5.58,2.66
absolution,6.58,1.68,3.38,2.11,5.75,2.33
absolve,4.58,1.54,3.53,1.94,4.82,2.46
absorb,5.5,1.6,4.27,1.91,5.62,1.66
abstain,4.4,0.94,3.1,1.81,6.08,2.25
abstinence,3.43,1.63,3.15,2.37,5.64,2.85
abstract,5.25,1.59,3.96,2.9,5.53,2.59
absurd,4.45,1.92,4.02,2.06,5.06,2.39
absurdity,4.06,2.18,4.7,2.36,5.37,2.29
abundance,6.67,1.5,4.72,2.7,5.66,2.19
abundant,7.55,1.39,4.21,2.7,5.81,1.88
abuse,1.53,1.07,6.21,2.17,2.9,2.17
abusive,2.05,1.7,5.27,2.43,3.58,2.5
abysmal,3.45,1.39,3.91,1.98,3.76,1.64
abyss,3.9,1.51,4.85,2.41,4,2.68
academic,6.61,1.54,3.32,2.23,6.21,2.13
academy,5.32,1.89,3.77,2.16,5.38,1.71
accelerant,4.59,1.59,4.81,2.14,6.04,2.01
accelerate,6.1,1.48,6.04,1.77,6.15,2.07
accelerated,6.21,1.55,4.75,2.67,6.29,1.92
acceleration,6.19,1.54,6.73,2.1,5.76,2.05
accelerator,5.63,1.16,5,2.45,6.65,1.84
accent,6.48,1.54,4.95,2.67,5.36,2.47
accept,6.39,1.65,2.8,2.26,5.94,2.13
acceptable,6.59,1.53,3.65,2.33,6.58,1.92
acceptance,6.84,1.31,4.3,2.82,6.49,2.43
access,6.68,1.39,5.3,2.32,6.89,2.18
accessible,6.68,1.38,3.2,2.42,6.58,2.24
accessory,5.35,1.9,4.22,2.69,5.83,2.43
accident,2.55,1.25,4.93,2.56,3,2.11
accidental,3.46,1.25,4,2.47,3.41,2.59
acclaim,6.1,1.61,3.95,2.01,5.77,1.88
accommodate,6.35,1.73,3,1.61,6.27,1.96
accommodation,6.76,1.7,4.72,2.07,6,2.29
accompany,5.47,1.22,3.85,1.84,5.63,2.36
accomplice,4.6,1.39,4.5,2.61,5.2,2.5
accomplish,7.45,1.15,5.16,2.81,7.27,1.52
accomplishment,8.05,0.86,4.96,2.3,6.5,2.44
accord,6.38,1.56,2.85,1.9,5.64,2.89
accordion,5.26,2.08,2.94,2.21,5.21,2.11
account,5.39,1.61,3.76,2.49,5.06,2.21
accountability,4.89,1.94,3.7,2.27,6.55,2.46
accountable,5.7,1.69,4.2,1.96,5.57,2.29
accountant,5.19,1.69,3.81,2.18,5.72,2.05
accounting,4.42,2.09,3.68,2.4,4.48,2.21
accumulate,6.33,2,2.73,2.27,6.15,1.83
accuracy,6.32,1.7,3.33,2.18,6.74,1.76
accurate,7.42,1.57,4.35,2.25,6.47,1.93
accursed,3.21,1.36,5.33,2.13,4.13,2.3
accusation,3.38,1.75,5.48,2.23,3.62,1.92
accuse,2.68,1.63,5.32,2.08,4,2.32
ace,6.37,1.34,4.64,2.38,6.61,1.84
acetylene,4.11,1.63,3.67,2.06,4.7,1.84
ache,3.27,2.01,4.3,2.26,4,2.72
achieve,7.75,1.16,4.7,2.96,6.61,2.44
achievement,7.28,2.15,5.57,2.17,7.17,1.72
achy,3.15,1.46,4.48,1.89,4.62,2.5
acid,3.26,2.02,4.77,2.37,4.26,2.43
acknowledge,6.43,1.86,3.26,2.18,6.11,2.42
acknowledgement,6.53,1.5,3.3,2.3,6.71,1.82
acne,2.18,1.47,4.47,2.5,3.44,1.96
acorn,5.85,1.76,4.42,2.32,4.77,2.31
acoustic,7.1,1.62,4,2.43,5.79,1.58
acoustics,6.33,1.2,3.19,1.83,5.86,1.67
acquaintance,5.58,1.35,3.24,1.64,5.29,1.85
acquire,5.5,1.76,4.86,2.01,7,1.89
acquisition,5,1.95,4.36,2.44,5.93,2.34
acquit,5.6,1.6,4.56,2.71,5.45,1.57
acquittal,6.19,1.72,4.95,2.31,5.03,2.36
acre,5.53,1.71,2.73,1.7,4.94,2.29
acreage,5.25,1.74,3.74,2,5.52,1.94
acrobat,6,1.3,4.9,2.14,5.42,2.24
acrylic,5.52,1.81,3.73,2.31,5.42,2.15
act,5.64,1.71,4.19,2.29,6.11,2.03
action,6,1.64,6.19,2.56,6.17,2.01
action figure,6.18,1.85,4.65,2.39,6.71,2.24
activate,5.7,1.77,3.78,2.54,6.28,2.13
activation,6.14,1.53,3.52,2.33,6.88,1.62
active,6.47,1.35,5.62,2.09,6.32,2.21
activist,6.24,1.84,5.26,2.33,5.86,1.9
activity,6.21,1.75,4.86,2.48,6.45,1.67
actor,6.15,1.27,4.35,2.28,5.64,1.99
actress,5.42,1.22,5.43,2.18,4.65,2.4
actual,6.22,1.48,2.75,1.94,5.54,1.89
actuality,5.4,1.47,5.55,2.28,5.24,2.07
